First Day - 30th of March 2023,,
Starting Time,Ending Time,Activity
09:00,09:30,Welcome and registration 
09:30,11:30,Morning Poster Session
11:30,12:30,Invited talks and spotlights
12:30,13:30,Lunch
13:30,14:30,Invited talks and spotlights
14:30,15:30,Panel session
15:30,18:00,Afternoon Poster Session 
18:00,22:00,Networking event with walking dinner and drinks
